"categoria","unidade","arquivo_original","formato_original","largura_original","altura_original","bytes_antes","arquivos_finais","bytes_finais","largura_final","altura_final"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.18.jpeg","jpeg","720","1600","78437","assets/images/units/cariacica/cariacica-17-480.webp | assets/images/units/cariacica/cariacica-17-960.webp","83066","720","1600"
"foto de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Image 2026-04-02 at 05.32.19.jpeg","jpeg","720","1600","193141","assets/images/units/cariacica/cariacica-18-480.webp | assets/images/units/cariacica/cariacica-18-960.webp","269638","720","1600"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.12.07.mp4","mp4","382","850","4986737","assets/videos/units/cariacica/cariacica-video-01.mp4 | assets/videos/units/cariacica/cariacica-video-01-poster.webp","5005753","382","850"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.12.08.mp4","mp4","720","1280","9254107","assets/videos/units/cariacica/cariacica-video-02.mp4 | assets/videos/units/cariacica/cariacica-video-02-poster.webp","9311615","720","1280"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.32.17 (1).mp4","mp4","478","850","2549389","assets/videos/units/cariacica/cariacica-video-03.mp4 | assets/videos/units/cariacica/cariacica-video-03-poster.webp","2578589","478","850"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.32.17.mp4","mp4","478","850","3319545","assets/videos/units/cariacica/cariacica-video-04.mp4 | assets/videos/units/cariacica/cariacica-video-04-poster.webp","3345817","478","850"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.32.19 (2).mp4","mp4","478","850","2220807","assets/videos/units/cariacica/cariacica-video-05.mp4 | assets/videos/units/cariacica/cariacica-video-05-poster.webp","2247103","478","850"
"v?deo de unidade","Cariacica","[diretorio-original]/Polo Cariacica/WhatsApp Video 2026-04-02 at 05.32.19.mp4","mp4","478","850","4070024","assets/videos/units/cariacica/cariacica-video-06.mp4 | assets/videos/units/cariacica/cariacica-video-06-poster.webp","4088000","478","850"
"foto de unidade","Guarapari","[diretorio-original]/Polo Guarapari/WhatsApp Image 2026-04-02 at 04.48.48 (1).jpeg","jpeg","3024","4032","1193746","assets/images/units/guarapari/guarapari-01-480.webp | assets/images/units/guarapari/guarapari-01-960.webp","158604","960","1280"
"foto de unidade","Guarapari","[diretorio-original]/Polo Guarapari/WhatsApp Image 2026-04-02 at 04.48.48.jpeg","jpeg","3024","4032","1196980","assets/images/units/guarapari/guarapari-02-480.webp | assets/images/units/guarapari/guarapari-02-960.webp","125844","960","1280"
"foto de unidade","Guarapari","[diretorio-original]/Polo Guarapari/WhatsApp Image 2026-04-02 at 04.50.40.jpeg","jpeg","960","1280","165680","assets/images/units/guarapari/guarapari-03-480.webp | assets/images/units/guarapari/guarapari-03-960.webp","197050","960","1280"
"v?deo de unidade","Guarapari","[diretorio-original]/Polo Guarapari/WhatsApp Video 2026-04-02 at 04.48.47.mp4","mp4","480","848","4081051","assets/videos/units/guarapari/guarapari-video-01.mp4 | assets/videos/units/guarapari/guarapari-video-01-poster.webp","4133511","480","848"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 04.59.17.jpeg","jpeg","960","1280","250875","assets/images/units/serra/serra-01-480.webp | assets/images/units/serra/serra-01-960.webp","333602","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 04.59.18.jpeg","jpeg","1280","960","209038","assets/images/units/serra/serra-02-480.webp | assets/images/units/serra/serra-02-960.webp","159392","960","720"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.38.jpeg","jpeg","1200","1600","406570","assets/images/units/serra/serra-03-480.webp | assets/images/units/serra/serra-03-960.webp","126942","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.39.jpeg","jpeg","1200","1600","273941","assets/images/units/serra/serra-04-480.webp | assets/images/units/serra/serra-04-960.webp","77334","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.40.jpeg","jpeg","1600","1200","390885","assets/images/units/serra/serra-05-480.webp | assets/images/units/serra/serra-05-960.webp","89614","960","720"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.41.jpeg","jpeg","1200","1600","373889","assets/images/units/serra/serra-06-480.webp | assets/images/units/serra/serra-06-960.webp","107216","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.43.jpeg","jpeg","1200","1600","223798","assets/images/units/serra/serra-07-480.webp | assets/images/units/serra/serra-07-960.webp","52244","960","1280"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.45.jpeg","jpeg","1600","1200","299323","assets/images/units/serra/serra-08-480.webp | assets/images/units/serra/serra-08-960.webp","51814","960","720"
"foto de unidade","Serra","[diretorio-original]/Polo Serra/WhatsApp Image 2026-04-02 at 05.34.47.jpeg","jpeg","1200","1600","274247","assets/images/units/serra/serra-09-480.webp | assets/images/units/serra/serra-09-960.webp","65884","960","1280"
